iter	Passed	Remaining
447	1124	1386
448	1127	1383
449	1129	1380
450	1131	1377
451	1133	1374
452	1135	1371
453	1138	1368
454	1140	1365
455	1142	1363
456	1144	1360
457	1146	1357
458	1148	1354
459	1151	1351
460	1153	1348
461	1155	1345
462	1157	1342
463	1159	1339
464	1161	1336
465	1163	1333
466	1166	1331
467	1168	1328
468	1170	1325
469	1172	1322
470	1174	1319
471	1176	1316
472	1179	1314
473	1181	1311
474	1183	1308
475	1185	1305
476	1187	1302
477	1190	1299
478	1192	1296
479	1194	1293
480	1196	1291
481	1198	1288
482	1201	1285
483	1203	1282
484	1205	1279
485	1207	1277
486	1209	1274
487	1211	1271
488	1213	1268
489	1216	1265
490	1218	1263
491	1220	1260
492	1222	1257
493	1225	1254
494	1227	1251
495	1229	1249
496	1231	1246
497	1233	1243
498	1235	1240
499	1237	1237
500	1239	1234
501	1242	1232
502	1244	1229
503	1246	1226
504	1248	1224
505	1250	1221
506	1252	1218
507	1255	1215
508	1257	1212
509	1259	1210
510	1261	1207
511	1263	1204
512	1266	1202
513	1268	1199
514	1270	1196
515	1272	1193
516	1274	1191
517	1276	1188
518	1278	1185
519	1281	1183
520	1284	1180
521	1286	1177
522	1288	1174
523	1290	1172
524	1292	1169
525	1294	1166
526	1297	1164
527	1299	1161
528	1302	1159
529	1304	1156
530	1306	1153
531	1308	1151
532	1311	1148
533	1313	1146
534	1315	1143
535	1317	1140
536	1320	1138
537	1322	1135
538	1324	1132
539	1326	1129
540	1328	1127
541	1330	1124
542	1333	1121
543	1335	1119
544	1337	1116
545	1339	1113
546	1341	1111
547	1344	1108
548	1346	1106
549	1349	1103
550	1351	1101
551	1353	1098
552	1355	1095
553	1357	1092
554	1359	1090
555	1362	1087
556	1364	1085
557	1366	1082
558	1368	1079
559	1370	1077
560	1372	1074
561	1374	1071
562	1377	1069
563	1379	1066
564	1381	1063
565	1383	1060
566	1385	1058
567	1387	1055
568	1390	1052
569	1392	1050
570	1394	1047
571	1397	1045
572	1399	1042
573	1401	1040
574	1403	1037
575	1405	1034
576	1407	1032
577	1410	1029
578	1412	1027
579	1414	1024
580	1416	1021
581	1418	1018
582	1421	1016
583	1423	1013
584	1425	1011
585	1427	1008
586	1430	1006
587	1432	1003
588	1434	1000
589	1436	998
590	1438	995
591	1441	993
592	1443	990
593	1445	988
594	1448	985
595	1450	983
596	1452	980
597	1455	978
598	1457	975
599	1459	973
600	1462	970
601	1464	968
602	1466	965
603	1468	963
604	1471	960
605	1473	957
606	1475	955
607	1477	952
608	1479	949
609	1481	947
610	1484	944
611	1486	942
612	1488	939
613	1490	937
614	1493	934
615	1495	931
616	1497	929
617	1499	926
618	1501	924
619	1503	921
620	1505	918
621	1508	916
622	1510	913
623	1512	911
624	1514	908
625	1516	906
626	1519	903
627	1521	901
628	1523	898
629	1526	896
630	1528	893
631	1530	891
632	1533	888
633	1535	886
634	1537	883
635	1539	881
636	1541	878
637	1543	875
638	1545	873
639	1547	870
640	1550	868
641	1552	865
642	1554	863
643	1556	860
644	1558	857
645	1560	855
646	1562	852
647	1565	850
648	1567	847
649	1569	845
650	1571	842
651	1574	840
652	1576	837
653	1578	834
654	1580	832
655	1583	830
656	1585	827
657	1587	824
658	1589	822
659	1591	819
660	1593	817
661	1595	814
662	1597	812
663	1599	809
664	1601	806
665	1603	804
666	1605	801
667	1608	799
668	1610	796
669	1612	794
670	1614	791
671	1617	789
672	1619	786
673	1621	784
674	1623	781
675	1625	779
676	1627	776
677	1629	774
678	1632	771
679	1635	769
680	1637	766
681	1639	764
682	1641	761
683	1643	759
684	1646	757
685	1649	754
686	1651	752
687	1653	749
688	1655	747
689	1657	744
690	1659	742
691	1662	739
692	1664	737
693	1666	734
694	1668	732
695	1671	729
696	1678	729
697	1680	727
698	1683	724
699	1685	722
700	1688	720
701	1690	717
702	1692	715
703	1695	712
704	1697	710
705	1699	707
706	1701	705
707	1703	702
708	1705	700
709	1708	697
710	1710	695
711	1712	692
712	1714	690
713	1717	687
714	1719	685
715	1721	682
716	1724	680
717	1726	677
718	1728	675
719	1730	673
720	1733	670
721	1735	668
722	1737	665
723	1739	663
724	1741	660
725	1744	658
726	1746	655
727	1756	656
728	1758	653
729	1760	651
730	1762	648
731	1765	646
732	1767	643
733	1769	641
734	1771	638
735	1773	636
736	1788	638
737	1790	635
738	1792	633
739	1795	630
740	1797	628
741	1799	625
742	1802	623
743	1804	620
744	1806	618
745	1809	615
746	1811	613
747	1813	611
748	1816	608
749	1818	606
750	1820	603
751	1822	601
752	1825	598
753	1827	596
754	1829	593
755	1831	591
756	1833	588
757	1835	586
758	1837	583
759	1839	580
760	1842	578
761	1844	576
762	1847	573
763	1850	571
764	1853	569
765	1855	566
766	1858	564
767	1860	562
768	1863	559
769	1865	557
770	1867	554
771	1870	552
772	1872	549
773	1874	547
774	1876	544
775	1879	542
776	1881	539
777	1883	537
778	1885	534
779	1887	532
780	1889	529
781	1892	527
782	1894	524
783	1896	522
784	1898	519
785	1900	517
786	1902	514
787	1904	512
788	1907	510
789	1909	507
790	1911	505
791	1914	502
792	1925	502
793	1928	500
794	1930	497
795	1932	495
796	1934	492
797	1936	490
798	1939	487
799	1941	485
800	1943	482
801	1945	480
802	1947	477
803	1950	475
804	1952	472
805	1954	470
806	1957	468
807	1959	465
808	1961	463
809	1964	460
810	1966	458
811	1968	455
812	1971	453
813	1973	451
814	1975	448
815	1977	446
816	1980	443
817	1982	440
818	1984	438
819	1986	436
820	2002	436
821	2004	434
822	2006	431
823	2008	429
824	2011	426
825	2013	424
826	2015	421
827	2018	419
828	2020	416
829	2022	414
830	2025	411
831	2027	409
832	2029	406
833	2031	404
834	2033	401
835	2036	399
836	2038	396
837	2040	394
838	2042	391
839	2044	389
840	2047	387
841	2049	384
842	2051	382
843	2054	379
844	2055	377
845	2058	374
846	2060	372
847	2062	369
848	2064	367
849	2067	364
850	2069	362
851	2071	359
852	2073	357
853	2076	354
854	2078	352
855	2080	350
856	2082	347
857	2085	345
858	2087	342
859	2090	340
860	2092	337
861	2094	335
862	2096	332
863	2098	330
864	2101	328
865	2104	325
866	2106	323
867	2108	320
868	2111	318
869	2113	315
870	2115	313
871	2117	310
872	2120	308
873	2122	305
874	2124	303
875	2126	301
876	2128	298
877	2130	296
878	2133	293
879	2135	291
880	2137	288
881	2139	286
882	2142	283
883	2144	281
884	2146	278
885	2148	276
886	2150	274
887	2153	271
888	2155	269
889	2157	266
890	2159	264
891	2161	261
892	2164	259
893	2166	256
894	2168	254
895	2170	251
896	2172	249
897	2174	247
898	2177	244
899	2179	242
900	2181	239
901	2183	237
902	2186	234
903	2188	232
904	2201	231
905	2203	228
906	2205	226
907	2207	223
908	2209	221
909	2211	218
910	2214	216
911	2216	213
912	2219	211
913	2221	209
914	2223	206
915	2225	204
916	2228	201
917	2231	199
918	2233	196
919	2235	194
920	2237	191
921	2239	189
922	2241	187
923	2244	184
924	2246	182
925	2249	179
926	2251	177
927	2253	174
928	2255	172
929	2258	169
930	2260	167
931	2262	165
932	2264	162
933	2266	160
934	2269	157
935	2271	155
936	2273	152
937	2275	150
938	2277	147
939	2280	145
940	2282	143
941	2284	140
942	2286	138
943	2289	135
944	2291	133
945	2293	130
946	2295	128
947	2297	126
948	2299	123
949	2302	121
950	2304	118
951	2306	116
952	2308	113
953	2311	111
954	2313	109
955	2315	106
956	2318	104
957	2320	101
958	2322	99
959	2324	96
960	2326	94
961	2329	92
962	2331	89
963	2333	87
964	2336	84
965	2339	82
966	2343	79
967	2346	77
968	2349	75
969	2352	72
970	2355	70
971	2358	67
972	2362	65
973	2365	63
974	2369	60
975	2372	58
976	2376	55
977	2379	53
978	2382	51
979	2384	48
980	2386	46
981	2388	43
982	2390	41
983	2392	38
984	2394	36
985	2395	34
986	2397	31
987	2399	29
988	2401	26
989	2403	24
990	2405	21
991	2408	19
992	2410	16
993	2412	14
994	2414	12
995	2416	9
996	2418	7
997	2420	4
998	2423	2
999	2425	0
